"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_3675,field_3671,field_3719,field_3720
16785,16785,Art O Mat Acquisition and Construction,,Active
16786,16786,Art O Mat Acquisition and Construction,,Active
16787,16787,Art O Mat Acquisition and Construction,,Active
16788,16788,Local Artists Paid for Mural Projects,,Active
16796,16796,Remediated and Built 7th and West Streets Park,,Active
16798,16798,Art Racks Design and Installation,,Active
16800,16800,Local Businesses Paid for Services,,Active
16801,16801,Facilitation of the Move of NextFab,,Active
16802,16802,Design and Completion of Large Scale Murals,,Active
16803,16803,Creation of Art Installations,,Active
16804,16804,Lighting Installations on 8 Commercial Properties,,Active
16805,16805,6 Banner Murals and Lighting Installation on Catawba St.,,Active
16806,16806,Completed and Opened The Rock Lot,,Active
16807,16807,Work with Partners to Stabilize 4 Vacant Lots,,Active
17200,17200,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17201,17201,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17202,17202,"Artists Paid for Projects, Performances and Workshops",,Active
17203,17203,"Artists Paid for Projects, Performances and Workshops",,Active
17204,17204,Local Food Vendor Payments,,Active
17205,17205,Local Food Vendor Payments,,Active
17206,17206,Local Food Vendor Payments,,Active
17207,17207,"Artists Paid for Projects, Performances and Workshops",,Active
17208,17208,"Artists Paid for Projects, Performances and Workshops",,Active
17209,17209,"Artists Paid for Projects, Performances and Workshops",,Active
17210,17210,"Artists Paid for Projects, Performances and Workshops",,Active
17211,17211,"Artists Paid for Projects, Performances and Workshops",,Active
17212,17212,Local Food Vendor Payments,,Active
17213,17213,Local Food Vendor Payments,,Active
17214,17214,Local Food Vendor Payments,,Active
17215,17215,"Artists Paid for Projects, Performances and Workshops",,Active
17216,17216,Art O Mat Acquisition and Construction,,Active
17217,17217,Art O Mat Acquisition and Construction,,Active
17218,17218,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17219,17219,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17220,17220,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17221,17221,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17222,17222,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17223,17223,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17224,17224,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17225,17225,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17226,17226,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17227,17227,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17228,17228,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17229,17229,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17230,17230,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17231,17231,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17232,17232,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17233,17233,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17234,17234,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17235,17235,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17236,17236,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17237,17237,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17238,17238,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17239,17239,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17240,17240,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17241,17241,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17242,17242,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17243,17243,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17244,17244,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17245,17245,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17246,17246,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17247,17247,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17248,17248,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17249,17249,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17250,17250,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17251,17251,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17252,17252,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17253,17253,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
17254,17254,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17255,17255,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
17256,17256,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
17257,17257,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
